EmployeeID,Age,ExperienceYears,Department,JobRole,EducationLevel,Gender,EmploymentType,WorkingHours,OvertimeHours,PerformanceScore,MonthlySalary,SalaryLevel
EMP0110,55,37,Operations,Operations Executive,Diploma,Male,Full-Time,43.8,4.0,82.8,147517,Very High
EMP0111,57,33,Sales,Sales Manager,High School,Male,Full-Time,39.9,2.6,64.6,121609,Very High
EMP0112,34,14,Operations,Operations Executive,Diploma,Female,Contract,44.5,2.3,96.6,95821,High
EMP0113,23,0,Sales,Sales Executive,Master,Female,Full-Time,40.0,19.9,64.0,87534,High
EMP0114,21,1,Sales,Business Development,Bachelor,Female,Full-Time,47.2,6.2,78.6,80187,High
EMP0115,25,7,IT,System Administrator,Bachelor,Female,Full-Time,36.4,0.1,74.3,91833,High
EMP0116,46,21,Marketing,SEO Specialist,Diploma,Male,Full-Time,48.9,3.4,79.2,103999,Very High
EMP0117,34,14,IT,Data Analyst,Bachelor,Male,Part-Time,41.8,12.5,80.4,98054,High
EMP0118,59,40,Operations,Operations Executive,Bachelor,Male,Full-Time,34.0,2.2,73.3,150785,Very High
EMP0119,47,29,Marketing,Marketing Manager,Bachelor,Female,Full-Time,46.1,0.6,94.8,141388,Very High
EMP0120,29,9,Marketing,SEO Specialist,Bachelor,Female,Full-Time,40.8,8.5,54.0,69693,Medium
EMP0121,35,16,IT,Data Analyst,High School,Male,Full-Time,31.8,5.6,62.7,103796,Very High
EMP0122,35,16,Finance,Accountant,Bachelor,Male,Contract,44.0,5.1,90.7,110178,Very High
EMP0123,46,23,Finance,Accountant,Bachelor,Female,Full-Time,48.0,0.3,84.8,143740,Very High
EMP0124,33,15,Finance,Accountant,Bachelor,Male,Full-Time,49.7,0.9,100.0,125142,Very High
EMP0125,52,33,IT,Data Analyst,PhD,Female,Full-Time,39.7,5.8,80.2,180633,Very High
EMP0126,59,36,Operations,Operations Executive,Bachelor,Female,Full-Time,42.9,1.4,100.0,155332,Very High
EMP0127,52,32,Sales,Business Development,Bachelor,Female,Contract,42.3,4.2,57.1,125278,Very High
EMP0128,24,3,Finance,Finance Manager,Bachelor,Female,Full-Time,50.9,4.7,55.1,80482,High
EMP0129,50,32,Finance,Accountant,Bachelor,Female,Full-Time,37.1,2.0,90.4,148434,Very High
EMP0130,57,32,HR,HR Manager,Bachelor,Male,Full-Time,39.2,17.8,56.4,139319,Very High
EMP0131,43,19,Sales,Business Development,Master,Female,Full-Time,37.0,11.1,72.7,127051,Very High
EMP0132,59,35,Sales,Business Development,Master,Female,Full-Time,33.3,7.7,93.6,169616,Very High
EMP0133,35,15,Operations,Operations Manager,Diploma,Male,Part-Time,43.5,0.5,81.7,88757,High
EMP0134,49,22,HR,Recruiter,Bachelor,Male,Full-Time,51.6,0.7,77.5,110088,Very High
EMP0135,56,29,Operations,Supply Coordinator,Bachelor,Male,Contract,40.8,4.1,73.2,119265,Very High
EMP0136,33,13,Operations,Supply Coordinator,Master,Male,Full-Time,36.7,1.1,77.5,102328,Very High
EMP0137,52,33,IT,Data Analyst,Bachelor,Female,Full-Time,43.1,23.0,83.7,160227,Very High
EMP0138,27,9,Operations,Operations Executive,Bachelor,Female,Full-Time,45.5,1.0,66.2,78350,High
EMP0139,42,18,IT,System Administrator,Diploma,Male,Full-Time,41.1,4.0,80.4,106992,Very High
EMP0140,48,24,Marketing,Marketing Executive,Bachelor,Male,Contract,50.4,2.7,90.5,126238,Very High
EMP0141,22,3,Finance,Finance Manager,Diploma,Female,Full-Time,37.1,6.1,69.2,71056,High
EMP0142,26,2,Operations,Operations Executive,Bachelor,Male,Full-Time,40.3,0.8,73.2,69361,Medium
EMP0143,48,23,Operations,Operations Executive,Diploma,Male,Full-Time,43.8,3.4,83.0,112384,Very High
EMP0144,48,30,Marketing,Marketing Executive,Master,Female,Full-Time,44.4,1.9,85.8,134751,Very High
EMP0145,40,14,Marketing,SEO Specialist,Bachelor,Female,Full-Time,42.3,13.1,84.1,96467,High
EMP0146,50,26,Finance,Financial Analyst,Bachelor,Male,Full-Time,34.3,0.2,66.3,136676,Very High
EMP0147,31,11,IT,Software Engineer,Master,Male,Full-Time,56.0,14.7,66.2,106594,Very High
EMP0148,48,23,HR,HR Executive,Bachelor,Male,Full-Time,40.6,10.7,70.2,102867,Very High
EMP0149,45,21,IT,System Administrator,Bachelor,Female,Full-Time,42.7,2.1,66.1,113279,Very High
EMP0150,59,34,Sales,Sales Executive,Bachelor,Female,Full-Time,45.7,9.3,57.5,142444,Very High
EMP0151,53,30,Finance,Finance Manager,High School,Male,Full-Time,38.2,0.2,40.4,120520,Very High
EMP0152,21,0,Operations,Operations Executive,Master,Female,Full-Time,42.3,20.4,83.3,81095,High
EMP0153,47,25,Sales,Sales Executive,High School,Female,Contract,37.9,4.5,58.9,100791,Very High
EMP0154,33,13,Operations,Operations Manager,Bachelor,Male,Full-Time,44.5,2.2,93.7,93580,High
EMP0155,23,3,IT,System Administrator,Bachelor,Male,Full-Time,40.3,2.7,81.2,88597,High
EMP0156,59,41,Operations,Operations Executive,Bachelor,Female,Full-Time,43.6,0.4,77.3,165120,Very High
EMP0157,26,1,Operations,Supply Coordinator,Master,Male,Full-Time,35.7,27.3,75.6,91682,High
EMP0158,28,9,HR,HR Manager,Bachelor,Male,Full-Time,37.0,0.2,79.3,80781,High
EMP0159,47,27,Sales,Sales Manager,High School,Female,Full-Time,33.8,6.4,64.6,126569,Very High
EMP0160,29,4,Marketing,SEO Specialist,Master,Female,Full-Time,37.7,3.5,72.3,88709,High
EMP0161,57,32,IT,Data Analyst,Bachelor,Female,Full-Time,26.6,17.8,65.6,144546,Very High
EMP0162,53,32,Sales,Sales Manager,Master,Female,Full-Time,40.2,1.7,87.6,164315,Very High
EMP0163,44,23,Finance,Accountant,Master,Female,Part-Time,38.8,4.6,68.5,117788,Very High
EMP0164,35,13,IT,Data Analyst,Master,Male,Contract,42.9,4.0,73.5,97178,High
EMP0165,52,29,Finance,Accountant,Bachelor,Female,Full-Time,42.3,7.3,76.5,143509,Very High
EMP0166,52,30,IT,Data Analyst,Bachelor,Male,Full-Time,49.5,0.4,80.9,147755,Very High
EMP0167,44,20,IT,Software Engineer,Master,Male,Contract,57.6,1.3,96.8,133358,Very High
EMP0168,32,13,IT,System Administrator,Bachelor,Female,Full-Time,48.8,1.4,72.1,109193,Very High
EMP0169,59,35,Operations,Operations Manager,Diploma,Female,Part-Time,39.3,8.0,94.2,138759,Very High
EMP0170,22,0,Sales,Sales Manager,Master,Male,Full-Time,39.0,1.3,77.6,73576,High
EMP0171,23,0,Operations,Supply Coordinator,Master,Female,Contract,47.2,5.1,88.3,80063,High
EMP0172,57,39,HR,HR Executive,Bachelor,Male,Full-Time,31.9,1.5,77.5,137982,Very High
EMP0173,37,13,Finance,Finance Manager,High School,Male,Contract,40.1,11.9,81.8,89364,High
EMP0174,22,0,Sales,Business Development,Bachelor,Male,Full-Time,40.6,17.1,68.7,66436,Medium
EMP0175,22,2,HR,Recruiter,Master,Female,Full-Time,45.5,4.4,36.0,73443,High
EMP0176,48,28,IT,System Administrator,Master,Female,Contract,45.7,2.6,65.5,135014,Very High
EMP0177,43,22,Sales,Business Development,Bachelor,Male,Full-Time,37.5,1.6,84.2,119920,Very High
EMP0178,57,38,IT,Data Analyst,High School,Female,Full-Time,39.5,0.3,87.7,132783,Very High
EMP0179,52,33,Sales,Sales Manager,Master,Male,Full-Time,44.7,1.9,64.4,156043,Very High
EMP0180,53,35,Sales,Sales Manager,Bachelor,Female,Full-Time,37.2,6.4,82.4,150221,Very High
EMP0181,21,0,IT,Data Analyst,Bachelor,Male,Contract,49.2,4.6,77.3,73666,High
EMP0182,39,18,IT,System Administrator,PhD,Male,Full-Time,45.7,17.3,73.5,130871,Very High
EMP0183,22,0,Marketing,Marketing Manager,High School,Female,Part-Time,43.0,3.0,80.3,50891,Medium
EMP0184,46,27,HR,HR Executive,Bachelor,Male,Full-Time,44.3,7.1,84.8,141649,Very High
EMP0185,52,32,IT,Software Engineer,High School,Male,Full-Time,39.2,4.0,79.0,137756,Very High
EMP0186,26,2,Operations,Supply Coordinator,Bachelor,Female,Full-Time,38.2,4.3,65.7,73946,High
EMP0187,52,28,IT,Software Engineer,Master,Female,Full-Time,39.5,1.9,91.2,150426,Very High
EMP0188,24,3,Sales,Business Development,Bachelor,Male,Full-Time,45.0,3.6,77.8,78292,High
EMP0189,31,9,Operations,Operations Executive,PhD,Male,Contract,43.2,3.8,57.1,91066,High
EMP0190,37,15,IT,Data Analyst,Bachelor,Male,Full-Time,39.5,7.4,77.3,116572,Very High
EMP0191,58,35,IT,Software Engineer,Bachelor,Male,Full-Time,46.5,16.9,64.4,151659,Very High
EMP0192,44,18,IT,Data Analyst,Bachelor,Male,Contract,41.0,2.4,64.6,99675,High
EMP0193,25,6,Finance,Accountant,Bachelor,Female,Full-Time,37.8,0.3,65.6,78547,High
EMP0194,54,32,IT,Data Analyst,Bachelor,Female,Part-Time,43.5,4.1,79.9,136793,Very High
EMP0195,26,6,Sales,Sales Manager,High School,Male,Full-Time,35.9,4.7,77.3,81722,High
EMP0196,42,21,IT,Software Engineer,Bachelor,Male,Part-Time,31.9,1.1,72.2,119827,Very High
EMP0197,31,4,Sales,Business Development,Bachelor,Male,Full-Time,42.0,8.6,67.3,76416,High
EMP0198,36,13,Operations,Operations Manager,Master,Male,Contract,38.1,25.2,65.4,90937,High
EMP0199,53,28,Marketing,Marketing Executive,Bachelor,Female,Full-Time,40.5,17.5,88.9,137384,Very High
EMP0200,29,11,Sales,Sales Manager,Master,Male,Full-Time,36.2,1.3,40.3,107799,Very High
EMP0201,26,0,Finance,Financial Analyst,High School,Male,Full-Time,49.3,12.5,66.4,49881,Medium
EMP0202,36,11,Sales,Sales Executive,Bachelor,Female,Full-Time,38.0,7.3,92.2,94788,High
EMP0203,49,25,Sales,Sales Executive,Bachelor,Male,Full-Time,39.4,3.6,83.9,133642,Very High
EMP0204,23,5,HR,HR Manager,Bachelor,Female,Full-Time,44.3,4.7,87.7,83770,High
EMP0205,40,21,IT,Software Engineer,High School,Male,Full-Time,33.7,11.4,51.1,101270,Very High
EMP0206,56,36,Operations,Operations Executive,Master,Female,Full-Time,33.3,3.9,65.5,157666,Very High
EMP0207,39,21,HR,HR Manager,Master,Female,Full-Time,44.3,2.8,83.0,135093,Very High
EMP0208,46,20,IT,System Administrator,Bachelor,Female,Full-Time,39.3,4.1,95.0,127562,Very High
EMP0209,23,0,Finance,Financial Analyst,High School,Female,Full-Time,36.6,5.2,57.5,56823,Medium
EMP0210,39,20,HR,HR Manager,Master,Male,Full-Time,45.6,1.3,72.2,126393,Very High
EMP0211,40,14,Operations,Operations Manager,Bachelor,Male,Full-Time,37.1,13.9,78.2,98276,High
EMP0212,52,28,Marketing,SEO Specialist,Master,Female,Full-Time,40.4,6.7,60.6,145808,Very High
EMP0213,27,1,Marketing,Marketing Manager,Master,Female,Full-Time,36.6,6.0,77.6,98547,High
EMP0214,53,30,IT,System Administrator,Master,Male,Full-Time,43.8,0.6,47.3,139304,Very High
EMP0215,60,37,HR,HR Executive,Bachelor,Male,Contract,50.0,5.6,86.3,138855,Very High
EMP0216,59,38,HR,HR Manager,Diploma,Male,Full-Time,30.8,0.8,69.4,145492,Very High
EMP0217,38,11,IT,Software Engineer,Bachelor,Male,Full-Time,42.7,0.5,69.3,90456,High
EMP0218,60,33,Finance,Accountant,Bachelor,Male,Full-Time,47.1,4.5,87.4,142072,Very High
EMP0219,21,2,Marketing,Marketing Manager,Master,Female,Full-Time,39.5,3.1,77.4,72146,High
EMP0220,31,7,IT,Software Engineer,Diploma,Male,Full-Time,35.2,5.3,72.9,83239,High
EMP0221,48,26,Sales,Sales Executive,Diploma,Male,Full-Time,44.5,0.6,90.0,127469,Very High
EMP0222,45,22,IT,Data Analyst,Master,Female,Full-Time,48.0,3.4,56.6,127588,Very High
EMP0223,43,24,IT,System Administrator,Master,Female,Full-Time,47.3,1.2,80.3,153637,Very High
EMP0224,51,29,IT,Data Analyst,Master,Female,Full-Time,44.2,26.1,65.9,159076,Very High
EMP0225,50,23,Operations,Operations Executive,Master,Female,Full-Time,42.6,4.9,88.0,148902,Very High
EMP0226,55,34,Marketing,Marketing Executive,Bachelor,Male,Full-Time,36.6,7.0,87.7,148821,Very High
EMP0227,27,1,Operations,Supply Coordinator,Bachelor,Female,Full-Time,47.2,2.4,80.6,80697,High
EMP0228,36,13,HR,HR Executive,Master,Female,Contract,46.9,0.6,94.9,111977,Very High
EMP0229,46,27,IT,System Administrator,Bachelor,Male,Full-Time,35.2,22.3,88.9,142974,Very High
EMP0230,22,4,Sales,Sales Manager,Bachelor,Female,Full-Time,44.2,2.0,70.8,75308,High
EMP0231,21,0,HR,HR Manager,Diploma,Female,Contract,45.9,3.3,71.5,39183,Low
EMP0232,32,6,Operations,Supply Coordinator,Bachelor,Male,Full-Time,47.3,6.3,79.8,87591,High
EMP0233,25,2,IT,Software Engineer,Master,Male,Full-Time,41.6,0.2,74.1,101414,Very High
EMP0234,57,30,HR,HR Executive,Bachelor,Male,Part-Time,36.9,10.0,86.5,113596,Very High
EMP0235,52,28,IT,System Administrator,Bachelor,Male,Part-Time,39.0,4.6,51.5,117557,Very High
EMP0236,29,7,Finance,Financial Analyst,Bachelor,Male,Full-Time,36.0,2.0,96.0,103942,Very High
EMP0237,55,28,Marketing,Marketing Executive,Bachelor,Female,Full-Time,41.7,0.4,79.7,129979,Very High
EMP0238,39,16,HR,HR Executive,Bachelor,Male,Full-Time,40.5,1.1,56.4,104292,Very High
EMP0239,36,14,Finance,Finance Manager,Bachelor,Female,Contract,54.9,13.5,62.5,94693,High
EMP0240,23,0,Finance,Financial Analyst,Master,Female,Full-Time,47.4,7.0,45.4,72214,High
EMP0241,40,17,HR,HR Manager,Bachelor,Female,Full-Time,47.8,1.7,62.9,109167,Very High
EMP0242,44,19,Marketing,Marketing Executive,Diploma,Female,Part-Time,44.8,0.4,75.0,85514,High
EMP0243,53,34,Operations,Operations Manager,High School,Male,Full-Time,39.8,7.0,97.6,135886,Very High
EMP0244,44,18,Operations,Operations Executive,Master,Male,Full-Time,40.3,5.1,80.7,115576,Very High
EMP0245,31,9,Marketing,Marketing Executive,Bachelor,Female,Full-Time,40.9,3.1,76.6,81612,High
EMP0246,28,4,Finance,Finance Manager,Master,Female,Full-Time,43.1,2.7,59.0,90521,High
EMP0247,56,29,Sales,Business Development,Bachelor,Female,Part-Time,44.3,1.5,69.1,116394,Very High
EMP0248,58,40,HR,HR Executive,Master,Male,Full-Time,42.0,6.6,72.0,169620,Very High
EMP0249,60,33,Finance,Accountant,Bachelor,Female,Part-Time,40.3,21.2,68.6,119468,Very High
EMP0250,40,18,Operations,Operations Executive,Master,Male,Full-Time,38.4,1.2,72.1,110977,Very High
EMP0251,55,28,IT,Software Engineer,Bachelor,Female,Full-Time,33.6,5.5,74.9,139176,Very High
EMP0252,45,26,Operations,Operations Manager,Master,Female,Contract,49.7,3.3,73.9,142353,Very High
EMP0253,55,32,HR,HR Manager,Bachelor,Male,Full-Time,55.2,3.6,71.4,139040,Very High
EMP0254,45,27,Sales,Sales Executive,Bachelor,Female,Full-Time,49.2,1.8,80.1,128309,Very High
EMP0255,49,29,Sales,Business Development,Bachelor,Male,Full-Time,34.4,10.5,73.9,124238,Very High
EMP0256,38,16,Operations,Supply Coordinator,Diploma,Male,Part-Time,46.7,4.0,56.3,73370,High
EMP0257,38,17,Sales,Sales Manager,Master,Male,Full-Time,48.1,4.7,76.0,120703,Very High
EMP0258,22,2,Sales,Sales Manager,Bachelor,Female,Full-Time,39.6,2.2,70.8,57676,Medium
EMP0259,55,28,IT,System Administrator,Bachelor,Female,Full-Time,44.9,1.2,59.9,125071,Very High
EMP0260,36,14,Sales,Sales Executive,Bachelor,Female,Full-Time,39.3,0.5,68.3,94542,High
EMP0261,56,31,IT,System Administrator,Bachelor,Male,Part-Time,51.2,7.5,85.8,134428,Very High
EMP0262,53,32,Marketing,Marketing Executive,Master,Female,Full-Time,44.2,1.3,66.2,148190,Very High
EMP0263,24,6,Sales,Sales Executive,Master,Female,Full-Time,36.5,7.0,57.5,86049,High
EMP0264,53,29,Sales,Sales Manager,Master,Male,Full-Time,46.0,3.0,74.9,150556,Very High
